instance,n,m,r,s,t,answer,solver,time_ms,error
ski-level10-3,77,104,29,0,77,7,dag,0,
ski-level20-1,252,345,83,0,253,10,dag,2,
ski-level20-2,253,337,83,0,253,14,dag,2,
ski-level20-3,254,353,11,0,253,-1,unreachable,0,
smallworld-3-0,9,16,3,0_0,2_2,3,fallback,0,
smallworld-3-1,9,16,4,0_0,2_2,4,fallback,0,
smallworld-10-0,100,241,10,0_0,9_9,?!,?!,68,node budget exhausted in many_general_fallback
smallworld-10-1,100,241,50,0_0,9_9,?!,?!,66,node budget exhausted in many_general_fallback
smallworld-20-0,400,1088,20,0_0,19_19,?!,?!,50,node budget exhausted in many_general_fallback
smallworld-20-1,400,1088,200,0_0,19_19,?!,?!,74,node budget exhausted in many_general_fallback
smallworld-30-0,900,2472,30,0_0,29_29,?!,?!,89,node budget exhausted in many_general_fallback
smallworld-30-1,900,2472,450,0_0,29_29,?!,?!,114,node budget exhausted in many_general_fallback
smallworld-40-0,1600,4431,40,0_0,39_39,?!,?!,37,maximum recursion depth exceeded
smallworld-40-1,1600,4431,800,0_0,39_39,?!,?!,34,maximum recursion depth exceeded
smallworld-50-0,2500,6930,50,0_0,49_49,?!,?!,43,maximum recursion depth exceeded
smallworld-50-1,2500,6930,1250,0_0,49_49,?!,?!,29,maximum recursion depth exceeded while calling a Python object
wall-n-1,8,8,1,7,0,1,fallback,0,
wall-n-2,16,17,1,7,0,0,fallback,0,
wall-n-3,24,26,1,7,0,0,fallback,0,
wall-n-4,32,35,1,7,0,0,fallback,0,
wall-n-10,80,89,1,7,0,0,fallback,5,
wall-n-100,800,899,1,7,0,?!,?!,72,node budget exhausted in many_general_fallback
wall-n-1000,8000,8999,1,7,0,?!,?!,62,maximum recursion depth exceeded
wall-n-10000,80000,89999,1,7,0,?!,?!,1017,maximum recursion depth exceeded
wall-p-1,8,8,1,7,0,1,fallback,0,
wall-p-2,14,15,1,7,0,1,fallback,0,
wall-p-3,20,22,1,7,0,1,fallback,0,
wall-p-4,26,29,1,7,0,1,fallback,0,
wall-p-10,62,71,1,7,0,1,fallback,9,
wall-p-100,602,701,1,7,0,?!,?!,100,node budget exhausted in many_general_fallback
wall-p-1000,6002,7001,1,7,0,?!,?!,66,maximum recursion depth exceeded
wall-p-10000,60002,70001,1,7,0,?!,?!,934,maximum recursion depth exceeded
wall-z-1,8,8,1,7,0,1,fallback,0,
wall-z-2,15,16,1,7,0,0,fallback,0,
wall-z-3,22,24,1,7,0,0,fallback,0,
wall-z-4,29,32,1,7,0,0,fallback,0,
wall-z-10,71,80,1,7,0,0,fallback,8,
wall-z-100,701,800,1,7,0,?!,?!,123,node budget exhausted in many_general_fallback
wall-z-1000,7001,8000,1,7,0,?!,?!,68,maximum recursion depth exceeded
wall-z-10000,70001,80000,1,7,0,?!,?!,867,maximum recursion depth exceeded
